"","ID","Nome da associação
 (nome sem abreviaturas divulgado na página)","Sigla ou Nome Comercial","Unidade da Federação
 (Estado ou Distrito Federal de localização
 a partir do endereço divulgado na página)","Município 
 (de localização
 a partir do endereço divulgado na página)","Página do Instagram
 (link ou ""não encontrado"")","Site ou página web
 (link ou ""não encontrado"")","Distribuição de óleo à base de cannabis (sim, não ou NI)","Distribuição de pomada/gel/creme à base de cannabis (sim, não ou NI)","Distribuição de produtos específicos para pets à base de cannabis (sim, não ou NI)","Possui algum outro produto para distribuição à base de cannabis? (sim, não ou NI)","Se sim, especifique: (se não, NA)...12","Oferece atendimento médico? (sim, não, NI ou MP)","Oferece assistência jurídica? (sim, não ou NI)","Oferece ""acolhimento""? (sim, não ou NI)","Oferece algum outro tipo de serviço? (sim, não ou NI)","Se sim, especifique: (se não, NA)...17","Fonte da informação
 (FACT; Kaya Mind; Lista dos Advogados; Busca livre na internet)","Pesquisador responsável pelo preenchimento
(Daniel, Luiz, Mariana, Mário, Natalia, Ramon, Rebeca)","Observação"
"1",44,"Associação Arapiraquense de Pacientes de Cannabis Medicinal","Regenera","Alagoas","Arapiraca","https://www.instagram.com/regeneraal/","https://regeneracbd.org/","sim","NI","NI","NI","NA","MP","sim","sim","NI","NA","FACT","Mário/Rebeca","As consultas médicas são realizadas com profissionais parceiros; não foram informados produtos específicos para pets, mas falam dos benefícios do CBD para animais"
"2",67,"Associação Cannabis Legal e Medicinal da Amazônia","ACALMAM","Amazonas","Manaus","https://www.instagram.com/acalmam.am?igsh=ZW9pdWt2NW1ycXo3","não encontrado","sim","NI","NI","sim","extratos e flores","sim","sim","NI","NI","NA","Kaya Mind","Luizinho/Rebeca","As informações estavam no formulário de cadastro"
"3",7,"Associação Brasileira CannaBahia","CannaBahia","Bahia","Teixeira de Freitas","https://www.instagram.com/cannabahia?igsh=ZjVld2NhazhqOWk1","https://cannabahia.com.br/","sim","NI","NI","NI","NA","NI","NI","NI","NI","NA","Lista dos Advogados; Busca livre na internet","Mariana/Rebeca",NA
"4",25,"Associação para pesquisa e desenvolvimento da Cannabis Medicinal no Brasil","Cannab","Bahia","Salvador","https://www.instagram.com/associacaocannab/","https://cannab.com.br/","não","não","não","não","NA","sim","NI","sim","NI","NA","FACT","Daniel/Rebeca",NA
"5",30,"Instituto de Desenvolvimento e Inclusão Canábica","Índica","Bahia","Uruçuca","https://www.instagram.com/indica.associacao/","http://institutoindica.org/ (fora do ar)","NI","NI","NI","NI","NA","NI","NI","sim","NI","NA","FACT","Daniel/Rebeca",NA
"6",31,"Organização Baiana de Estudos da Cannabis","OBEC","Bahia","Salvador","https://www.instagram.com/obecmed/","http://www.obec.med.br/ (fora do ar)","NI","NI","NI","NI","NA","NI","NI","sim","NI","NA","FACT","Daniel/Rebeca","No instagram da associação eles falam sobre medicina canabinoide veterinária"
"7",46,"Associação Sonho Verde Brasil","ASVB","Bahia","Imbassaí","https://www.instagram.com/sonhoverde.asvb/","https://sonhoverdeasvb.wixsite.com/index?fbclid=PAZXh0bgNhZW0CMTEAAae1GPHgCxhz17nv9bbWAroC0_9YX6z4FedAUQ0ubgzKHfs4KiGg5hlGE6TpSQ_aem_asszn2EXzF_j5ODMUdArKQ","NI","NI","NI","NI","NA","sim","NI","sim","sim","Aulas de boxe e jiu-jitsu","FACT","Mário/Rebeca","Projeto focado especialmente em crianças"
"8",55,"Associação de Apoio ao Tratamento em Canabinoides","AATAMED","Bahia","Pituba","Não encontrado","https://aatamed.org/","NI","NI","NI","NI","NA","sim","sim","sim","sim","Apoio na importação do medicamento e educação continuada para prescritores","Kaya Mind","Luizinho/Rebeca",NA
"9",5,"Associação de Pacientes de Cannabis Livre e Medicinal do Ceará - Flor da Luz","ACALME-CE Flor da Luz","Ceará","Capistrano","https://www.instagram.com/acalmece?igsh=MXBwNWwwbWR1YzBxaw==","Não encontrado","sim","NI","NI","NI","NA","NI","NI","NI","NI","NA","Lista dos Advogados; Busca livre na internet","Mariana/Rebeca",NA
"10",15,"Associação Brasileira de Cannabis Medicinal","Abracam","Ceará","Fortaleza","https://www.instagram.com/abracamcbd/","https://abracam.org/ (fora do ar)","sim","sim","NI","NI","NA","NI","NI","sim","NI","NA","FACT","Daniel/Rebeca",NA
